"year","country","total_visitors"
2023,Thailand,40952
2023,Timor,33
2023,Togo,50
2023,Tonga,122
2023,Trinidad And Tobago,7
2023,Tunisia,882
2023,Turkey,10026
2023,Turkmenistan,116
2023,Turks And Caicos,33
2023,Tuvalu,34
2023,Uganda,31
2023,Ukraine,854
2023,United Arab Emirates,33769
2023,United Kingdom,154698
2023,United States Minor Outlying Islands,2291
2023,Uruguay,1725
2023,Usa,903299
2023,Uzbekistan,701
2023,Vanuatu,15
2023,Vatican City State,2
2023,Vietnam,67661
2023,Virgin Islands Us,56
2023,Wallis And Futuna,1
2023,Western Sahara,1
2023,Yemen,51
2023,Zambia,24
2023,Zimbabwe,47
2024,Afghanistan,97
2024,Aland Islands,129
2024,Albania,212
2024,Algeria,115
2024,American Samoa,194
2024,Andorra,253
2024,Angola,195
2024,Anguilla,16
2024,Antarctica,3
2024,Antigua And Barbuda,37
2024,Argentina,2725
2024,Armenia,384
2024,Aruba,104
2024,Australia,272215
2024,Austria,14199
2024,Azerbaijan,98
2024,Bahamas,118
2024,Bahrain,6431
2024,Bangladesh,4814
2024,Barbados,57
2024,Belarus,530
2024,Belgium,15094
2024,Belize,54
2024,Benin,42
2024,Bermuda,244
2024,Bhutan,380
2024,Bolivia,152
2024,Bonaire Sint Eustatius And Saba,13
2024,Bosnia And Herzegovina,160
2024,Botswana,74
2024,Brazil,5116
2024,British Indian Ocean Territory,184
2024,British Virgin Islands,38
2024,Brunei,6011
2024,Bulgaria,2604
2024,Burkina Faso,62
2024,Burundi,46
2024,Cabo Verde,14
2024,Cambodia,4010
2024,Cameroon,841
2024,Canada,223944
2024,Cayman Islands,238
2024,Central African Republic,19
2024,Chad,32
2024,Chile,1995
2024,China,312222
2024,Christmas Island,10
2024,Cocos Keeling Islands,0
2024,Colombia,2034
2024,Comoros,11
2024,Congo Democratic Republic Of,210
2024,Congo Republic Of Cap Brazzaville,51
2024,Cook Islands,63
2024,Costa Rica,616
2024,Cote Divoire Ivory Coast,212
2024,Croatia,1552
2024,Cuba,9
2024,Curacao,34
2024,Cyprus,1455
2024,Czech Republic,6993
2024,Denmark,13759
2024,Djibouti,18
2024,Dominica,33
2024,Dominican Republic,158
2024,Ecuador,456
2024,Egypt,1408
2024,El Salvador,154
2024,Equatorial Guinea,44
2024,Eritrea,27
2024,Estonia,1456
2024,Eswatini,77
2024,Ethiopia,331
2024,Falkland Islands Malvinas,40
2024,Faroe Islands,156
2024,Fiji,909
2024,Finland,4935
2024,France,60743
2024,French Guiana,11
2024,French Polynesia,153
2024,French Southern Territories,36
2024,Gabon,31
2024,Gambia,51
2024,Georgia,405
2024,Germany,79886
2024,Ghana,900
2024,Gibraltar,145
2024,Greece,3381
2024,Greenland,44
2024,Grenada,22
2024,Guadeloupe,31
2024,Guam,37609
2024,Guatemala,312
2024,Guernsey,180
2024,Guinea,75
2024,Guyana,48
2024,Haiti,68
2024,Honduras,211
2024,Hong Kong,79276
2024,Hungary,2786
2024,Iceland,1467
2024,India,78995
2024,Indonesia,57085
2024,Iran,1072
2024,Iraq,258
2024,Ireland,16111
2024,Isle Of Man,524
2024,Israel,15537
2024,Italy,29943
2024,Jamaica,266
2024,Japan,388316
2024,Jersey,358
2024,Jordan,570
2024,Kazakhstan,2044
2024,Kenya,862
2024,Kiribati,87
2024,Kosovo,13
2024,Kuwait,7702
2024,Kyrgyzstan,432
2024,Laos,1113
2024,Latvia,1268
2024,Lebanon,559
2024,Lesotho,20
2024,Liberia,141
2024,Libya,89
2024,Liechtenstein,117
2024,Lithuania,1983
2024,Luxembourg,1111
2024,Macau,4470
2024,Macedonia,99
2024,Madagascar,198
2024,Malawi,108
2024,Malaysia,95713
2024,Maldives,1510
2024,Mali,42
2024,Malta,1293
2024,Marshall Islands,595
2024,Martinique,24
2024,Mauritania,16
2024,Mauritius,430
2024,Mayotte,2
2024,Mexico,3269
2024,Micronesia,1122
2024,Moldova,177
2024,Monaco,165
2024,Mongolia,4262
2024,Montenegro,117
2024,Montserrat,1
2024,Morocco,1861
2024,Mozambique,91
2024,Myanmar,9143
2024,Namibia,119
2024,Nauru,37
2024,Nepal,4050
2024,Netherlands,34726
2024,New Caledonia,216
2024,New Zealand,28193
2024,Nicaragua,118
2024,Niger,16
2024,Nigeria,2292
2024,Niue,19
2024,Norfolk Island,7
2024,North Korea,10
2024,Northern Mariana Islands,2256
2024,Norway,19100
2024,Oman,4277
2024,Pakistan,4202
2024,Palau,1293
2024,Palestine State,36
2024,Panama,315
2024,Papua New Guinea,8512
2024,Paraguay,138
2024,Peru,866
2024,Poland,15294
2024,Portugal,5306
2024,Puerto Rico,333
2024,Qatar,11796
2024,Reunion,172
2024,Romania,5431
2024,Russian Federation,27602
2024,Rwanda,109
2024,Saint Barthelemy,11
2024,Saint Helena,2
2024,Saint Kitts And Nevis,104
2024,Saint Lucia,69
2024,Saint Martin French Part,5
2024,Saint Pierre And Miquelon,1
2024,Saint Vincent And The Grenadines,23
2024,Samoa,165
2024,San Marino,35
2024,Sao Tome And Principe,1
2024,Saudi Arabia,22429
2024,Senegal,153
2024,Serbia,1173
2024,Seychelles,73
2024,Sierra Leone,22
2024,Singapore,157264
2024,Sint Maarten Dutch Part,36
2024,Slovakia,2551
2024,Slovenia,1810
2024,Solomon Islands,474
2024,Somalia,23
2024,South Africa,5018
2024,South Georgia And The South Sandwich Islands,0
2024,South Korea,1569071
2024,Spain,46146
2024,Sri Lanka,2955
2024,Sudan,146
2024,Suriname,32
2024,Svalbard And Jan Mayen,5
2024,Sweden,18144
2024,Switzerland,27050
2024,Syria,228
2024,Taiwan,208736
2024,Tajikistan,274
2024,Tanzania,379
2024,Thailand,45896
2024,Timor,674
2024,Togo,70
2024,Tonga,143
2024,Trinidad And Tobago,230
2024,Tunisia,872
2024,Turkey,13012
2024,Turkmenistan,218
2024,Turks And Caicos,56
2024,Tuvalu,43
2024,Uganda,400
2024,Ukraine,1187
2024,United Arab Emirates,40026
2024,United Kingdom,160296
2024,United States Minor Outlying Islands,12265
2024,Uruguay,1099
2024,Usa,947891
2024,Uzbekistan,830
2024,Vanuatu,295
2024,Vatican City State,2
2024,Venezuela,172
2024,Vietnam,58098
2024,Virgin Islands Us,50
2024,Wallis And Futuna,18
2024,Western Sahara,0
2024,Yemen,53
2024,Zambia,255
2024,Zimbabwe,486
2025,Afghanistan,228
2025,Aland Islands,84
2025,Albania,127
2025,Algeria,76
2025,American Samoa,126
2025,Andorra,186
2025,Angola,138
2025,Anguilla,19
2025,Antarctica,2
2025,Argentina,2189
2025,Armenia,304
2025,Aruba,86
2025,Australia,217209
2025,Austria,10494
2025,Azerbaijan,97
2025,Bahamas,104
2025,Bahrain,4098
2025,Bangladesh,6606
2025,Barbados,32
2025,Belarus,482
2025,Belgium,11902
2025,Belize,50
2025,Benin,37
2025,Bermuda,146
2025,Bhutan,258
2025,Bolivia,82
2025,Bonaire Sint Eustatius And Saba,14
2025,Bosnia And Herzegovina,139
2025,Botswana,84
2025,Brazil,3764
2025,British Indian Ocean Territory,90
2025,British Virgin Islands,21
2025,Brunei,3891
2025,Bulgaria,2169
2025,Burundi,13
2025,Cabo Verde,13
2025,Cambodia,2629
2025,Cameroon,592
2025,Canada,187189
2025,Cayman Islands,202
2025,Central African Republic,11
2025,Chad,40
2025,Chile,1494
2025,China,202738
2025,Christmas Island,4
2025,Colombia,1298
2025,Comoros,8
2025,Congo Democratic Republic Of,105
2025,Congo Republic Of Cap Brazzaville,52
2025,Costa Rica,391
2025,Cote Divoire Ivory Coast,156
2025,Croatia,1039
2025,Cuba,31
2025,Curacao,29
2025,Cyprus,1079
2025,Czech Republic,4865
2025,Denmark,11020
2025,Djibouti,23
2025,Dominica,29
2025,Dominican Republic,144
2025,Ecuador,311
2025,Egypt,978
2025,El Salvador,129
2025,Equatorial Guinea,43
2025,Eritrea,18
2025,Estonia,913
2025,Eswatini,60
2025,Ethiopia,261
2025,Falkland Islands Malvinas,19
2025,Faroe Islands,131
2025,Fiji,535
2025,Finland,3897
2025,France,53975
2025,French Guiana,18
